Accuracy,Precision,Recall
,,
0.99904862,0.999046173,0.999029484
,,
0.999198838,0.99919522,0.999204688
,,
0.888888889,0.933691662,0.888659829
,,
0.941362043,0.957273739,0.942165461
,,
0.933099649,0.950158797,0.933375829
,,
0.99989985,0.99990002,0.999899538
,,
0.985327992,0.986014729,0.985321813
,,
0.938007011,0.954691301,0.937628455
,,
0.942714071,0.957421148,0.943436558
,,
0.936604907,0.95221466,0.937179078
,,
0.938958438,0.952363268,0.939005403
,,
0.999549324,0.999555956,0.999548582
,,
0.986029044,0.986243332,0.985959067
,,
0.940711067,0.955782908,0.94205678
,,
0.940110165,0.955805397,0.940947769
,,
0.957967327,0.969290554,0.958227889
